entity_en,nid,link,title,date
Xi Jinping,1501,https://www.bbc.com/news/world-asia-china-51249208,"China coronavirus spread is accelerating, Xi Jinping warns",2020-01-25 14:01:07
China,1501,https://www.bbc.com/news/world-asia-china-51249208,"China coronavirus spread is accelerating, Xi Jinping warns",2020-01-25 14:01:07
Coronavirus,1502,https://www.cnn.com/2020/01/20/health/what-is-coronavirus-explained/index.html,Coronavirus explained: What you need to know,2020-01-20 00:00:00
Coronavirus,1503,https://www.nytimes.com/article/what-is-coronavirus.html,"What Is the Coronavirus? Symptoms, Treatment and Risks",2020-01-23 00:00:00
Belfast,1504,https://www.bbc.com/news/uk-northern-ireland-51227183,Coronavirus: Man is treated for symptoms in Belfast,2020-01-23 00:00:00
Wuhan,1505,https://www.businessinsider.com/how-to-protect-yourself-from-coronavirus-wuhan-2020-1,The Wuhan coronavirus has spread to 10 countries. Here's ...,2020-01-23 00:00:00
Texas,1506,https://www.nytimes.com/2020/01/23/us/united-states-coronavirus-cases.html,"Texas Student May Have Wuhan Coronavirus, as Dozens in ...",2020-01-23 00:00:00
Wuhan Coronavirus,1506,https://www.nytimes.com/2020/01/23/us/united-states-coronavirus-cases.html,"Texas Student May Have Wuhan Coronavirus, as Dozens in ...",2020-01-23 00:00:00
Canada,1507,https://globalnews.ca/news/6462626/coronavirus-toronto-hospital/,Canada's 1st 'presumptive' case of new coronavirus ...,2020-01-26 02:01:07
Coronavirus,1508,https://newatlas.com/health-wellbeing/coronavirus-explained-what-do-we-know-so-far/,Coronavirus explained: What do we know so far?,2020-01-21 00:00:00
China,1509,https://qz.com/1787720/chinas-coronavirus-has-spread-to-more-cities/,China's mysterious coronavirus has spread to six cities in four ...,2020-01-19 00:00:00
Coronavirus Golden Window,1510,https://www.ccn.com/china-virologist-says-coronavirus-golden-window-of-containment-missed/,China's Top Virologist Says Coronavirus Golden Window of ...,2020-01-24 00:00:00
China,1510,https://www.ccn.com/china-virologist-says-coronavirus-golden-window-of-containment-missed/,China's Top Virologist Says Coronavirus Golden Window of ...,2020-01-24 00:00:00
Thailand,1511,https://www.who.int/news-room/detail/13-01-2020-who-statement-on-novel-coronavirus-in-thailand,WHO statement on novel coronavirus in Thailand,2020-01-13 00:00:00
Thailand,1512,https://www.nytimes.com/2020/01/15/world/asia/coronavirus-japan-china.html,Japan and Thailand Confirm New Cases of Chinese ...,2020-01-16 00:00:00
Japan,1512,https://www.nytimes.com/2020/01/15/world/asia/coronavirus-japan-china.html,Japan and Thailand Confirm New Cases of Chinese ...,2020-01-16 00:00:00
Wuhan,1513,https://www.bbc.com/news/world-asia-china-51047576,Wuhan pneumonia outbreak: Mystery illness 'caused by ...,2020-01-09 00:00:00
Wuhan,1514,https://www.nytimes.com/2020/01/25/world/asia/china-wuhan-coronavirus.html,Effects of Coronavirus Begin Echoing Far From Wuhan ...,2020-01-25 22:01:07
Coronavirus,1515,https://www.aljazeera.com/ajimpact/coronavirus-infects-wall-street-investors-uncertainty-200124213820431.html,Coronavirus infects Wall Street investors with uncertainty,2020-01-24 00:00:00
Shanghai Disney,1518,https://www.marketwatch.com/story/shanghai-disney-to-close-indefinitely-in-response-to-coronavirus-outbreak-2020-01-24,Shanghai Disney to close indefinitely in response to ...,2020-01-24 00:00:00
Canada,1520,https://nationalpost.com/news/canada/risk-of-chinese-coronavirus-to-canadians-low-health-minister,As many as six people in Canada being monitored over ...,2020-01-23 00:00:00
Australia,1521,https://www.sciencealert.com/australian-scientists-asked-to-make-coronavirus-vaccine-at-unprecedented-speed,Australia's Been Asked to Make a Coronavirus Vaccine at ...,2020-01-24 00:00:00
Malaysia,1522,https://www.bloomberg.com/news/articles/2020-01-25/malaysia-reports-first-confirmed-cases-of-novel-coronavirus,Malaysia Reports First Confirmed Cases of Novel Coronavirus,2020-01-24 00:00:00
LAX,1523,https://thehill.com/changing-america/well-being/prevention-cures/479717-california-traveler-hospitalized-from-lax-with,California traveler hospitalized from LAX with suspected case ...,2020-01-24 00:00:00
California,1523,https://thehill.com/changing-america/well-being/prevention-cures/479717-california-traveler-hospitalized-from-lax-with,California traveler hospitalized from LAX with suspected case ...,2020-01-24 00:00:00
China,1524,https://www.bbc.co.uk/news/uk-scotland-51251565,China coronavirus: All five tested in Scotland given all-clear,2020-01-25 18:01:07
Scotland,1524,https://www.bbc.co.uk/news/uk-scotland-51251565,China coronavirus: All five tested in Scotland given all-clear,2020-01-25 18:01:07
First Thai,1525,https://www.bangkokpost.com/thailand/general/1841199/first-thai-infected-with-coronavirus,First Thai infected with coronavirus,2020-01-21 00:00:00
Hong Kong,1526,https://www.cnnphilippines.com/news/2020/1/22/Hong-Kong-coronavirus-family-Manila.html,Family of first coronavirus case in Hong Kong flew to Manila ...,2020-01-22 00:00:00
Manila,1526,https://www.cnnphilippines.com/news/2020/1/22/Hong-Kong-coronavirus-family-Manila.html,Family of first coronavirus case in Hong Kong flew to Manila ...,2020-01-22 00:00:00
Coronavirus,1527,https://www.kcentv.com/article/news/health/baylor-student-tested-for-possible-case-of-coronavirus/500-aed8e19e-41ff-44d9-8dd9-9126f89d906f,Baylor student being tested for possible case of Coronavirus ...,2020-01-24 00:00:00
Wuhan,1528,https://www.cnn.com/2020/01/23/health/us-wuhan-coronavirus-doctor-interview/index.html,A man diagnosed with Wuhan coronavirus near Seattle is ...,2020-01-23 00:00:00
Seattle,1528,https://www.cnn.com/2020/01/23/health/us-wuhan-coronavirus-doctor-interview/index.html,A man diagnosed with Wuhan coronavirus near Seattle is ...,2020-01-23 00:00:00
Tennessee,1530,http://fox17.com/news/local/tennessee-tech-student-undergoing-testing-for-possible-infection-with-coronavirus,Tennessee Tech student tests negative for coronavirus infection,2020-01-24 00:00:00
Wuhan,1532,https://www.straitstimes.com/world/europe/coronavirus-patients-arrived-in-france-without-symptoms,Wuhan virus: Coronavirus patients arrived in France without ...,2020-01-25 20:01:07
Coronavirus,1532,https://www.straitstimes.com/world/europe/coronavirus-patients-arrived-in-france-without-symptoms,Wuhan virus: Coronavirus patients arrived in France without ...,2020-01-25 20:01:07
France,1532,https://www.straitstimes.com/world/europe/coronavirus-patients-arrived-in-france-without-symptoms,Wuhan virus: Coronavirus patients arrived in France without ...,2020-01-25 20:01:07
Boston,1534,https://whdh.com/news/9-people-screened-for-deadly-coronavirus-at-bostons-logan-international-airport/,9 people screened for deadly coronavirus at Boston's Logan ...,2020-01-23 00:00:00
Logan,1534,https://whdh.com/news/9-people-screened-for-deadly-coronavirus-at-bostons-logan-international-airport/,9 people screened for deadly coronavirus at Boston's Logan ...,2020-01-23 00:00:00
Vietnam,1535,https://www.reuters.com/article/us-vietnam-health/vietnam-says-two-chinese-citizens-in-vietnam-confirmed-to-have-coronavirus-idUSKBN1ZM24I,Vietnam says two Chinese citizens in Vietnam confirmed to ...,2020-01-23 00:00:00
China,1536,https://www.cnbc.com/2020/01/24/trump-thanks-chinas-xi-jinping-for-handling-of-coronavirus.html,Trump thanks China's Xi Jinping for handling of coronavirus,2020-01-24 00:00:00
Coronavirus,1537,https://www.reuters.com/article/us-china-health-usa-masks/coronavirus-worries-have-surgical-masks-flying-off-shelves-in-new-yorks-chinatown-idUSKBN1ZN2H4,Coronavirus worries have surgical masks flying off shelves in ...,2020-01-24 00:00:00
Canada,1538,https://globalnews.ca/news/6456196/coronavirus-canada-medical-officer/,Mass quarantines won't happen in Canada if coronavirus is ...,2020-01-24 00:00:00
Thailand,1541,https://www.bangkokpost.com/thailand/general/1842939/fifth-coronavirus-case-in-thailand,Fifth coronavirus case in Thailand,2020-01-24 00:00:00
Wuhan,1542,https://www.straitstimes.com/asia/south-asia/wuhan-virus-nepal-confirms-first-case-of-new-coronavirus,Wuhan virus: Nepal confirms first case of new coronavirus,2020-01-24 00:00:00
McDonald,1543,https://www.cnn.com/2020/01/24/business/mcdonalds-coronavirus-closures/index.html,McDonald's closes restaurants in five Chinese cities because ...,2020-01-24 00:00:00
HUNDREDS,1544,https://www.dailymail.co.uk/news/article-7929977/Health-officials-scramble-passengers-coronavirus-flights.html,Health officials scramble to track HUNDREDS of airline ...,2020-01-26 01:01:07
China,1546,https://www.nytimes.com/2020/01/23/health/coronavirus-surgical-masks.html,"Many in China Wear Them, but Do Masks Block Coronavirus?",2020-01-23 00:00:00
